Thu Jan 16 08:42:43 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Thu Jan 16 11:40:24 JST 2020: send msg: [addAction:requestMessage:am;114024857] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:27 JST 2020: send msg: [114024857] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:27 JST 2020: send msg: [addAction:say:うん、僕もそう思う:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:27 JST 2020: send msg: [addAction:say:もう少し、他のも見てみたいなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:27 JST 2020: send msg: [addAction:requestMessage:am;114027900] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:32 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:40:32 JST 2020: send msg: [kanren] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:40:32 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:32 JST 2020: send msg: [kanren] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:32 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:32 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:32 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:32 JST 2020: send msg: [addAction:requestMessage:am;114032242] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:32 JST 2020: send msg: [addAction:say:いろんなイヤリングあるなあ] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:35 JST 2020: send msg: [114032242] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:35 JST 2020: send msg: [addAction:say:デザインも悪くないし、いいとこついてるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:35 JST 2020: send msg: [addAction:requestMessage:am;114035386] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:35 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:39 JST 2020: send msg: [114035386] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:39 JST 2020: send msg: [addAction:say:うん、うん] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:39 JST 2020: send msg: [addAction:say:凛とした輝きがあるね] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:39 JST 2020: send msg: [addAction:requestMessage:am;114039554] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:43 JST 2020: send msg: [114039554] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:43 JST 2020: send msg: [addAction:say:他のもいろいろ見てみたいなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:43 JST 2020: send msg: [addAction:requestMessage:am;114043318] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:46 JST 2020: send msg: [114043318] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:46 JST 2020: send msg: [addAction:wait:500] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:46 JST 2020: send msg: [addAction:say:今って何が人気なのかな?] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:46 JST 2020: send msg: [addAction:requestMessage:am;114046437] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:50 JST 2020: send msg: [114046437] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:50 JST 2020: send msg: [addaction:wait:500] to 'sota2' (/100.80.194.203, ID:36)
