Mon Oct 21 10:12:03 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Mon Oct 21 12:23:07 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:23:07 JST 2019: send msg: [addAction:say:ページ上部のマテリアルから絞り込むのところを] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:23:07 JST 2019: send msg: [addAction:requestMessage:am;12237278] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:23:11 JST 2019: send msg: [12237278] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:23:11 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:11 JST 2019: send msg: [addAction:say:マテリアルのところを:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:11 JST 2019: send msg: [addAction:requestMessage:am;122311152] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:13 JST 2019: send msg: [122311152] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:23:13 JST 2019: send msg: [addAction:say:K10ホワイトゴールドにするといいよ。] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:23:13 JST 2019: send msg: [addAction:requestMessage:am;122313383] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:23:13 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:23:16 JST 2019: send msg: [122313383] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:23:16 JST 2019: send msg: [addAction:requestMessage:am;122316879] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:16 JST 2019: send msg: [addAction:posture:homePosture] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:16 JST 2019: send msg: [addAction:say:K10ホワイトゴールドだね、何がいいの?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:21 JST 2019: send msg: [122316879] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:23:21 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:23:21 JST 2019: send msg: [addAction:say:ホワイトは上品な感じをだしつつ、どんなファッションにも合わせやすいんだ] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:23:21 JST 2019: send msg: [addAction:requestMessage:am;122321396] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:23:27 JST 2019: send msg: [122321396] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:23:27 JST 2019: send msg: [addAction:requestMessage:am;122327469] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:27 JST 2019: send msg: [addAction:say:なるほどなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:29 JST 2019: send msg: [122327469] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:23:29 JST 2019: send msg: [addAction:requestMessage:am;122329353] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:23:29 JST 2019: send msg: [addAction:say:コーティングもされていて、長く使っても変色しにくいんだ] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:23:34 JST 2019: send msg: [122329353] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:23:34 JST 2019: send msg: [addAction:say:K10ホワイトゴールド、だね、探してみるよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:34 JST 2019: send msg: [addAction:requestMessage:am;122334210] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:23:39 JST 2019: send msg: [122334210] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:25:21 JST 2019: Connect with /127.0.0.1, ID: 243
Mon Oct 21 12:25:21 JST 2019: Register name as: 'op' (/127.0.0.1, ID:243)
Mon Oct 21 12:25:53 JST 2019: send msg: [narrow] to 'sh' (/100.80.194.226, ID:23)
Mon Oct 21 12:25:53 JST 2019: send msg: [narrow] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:25:53 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:25:53 JST 2019: send msg: [addAction:say:プレゼント、絶対に失敗したくない人、何選んだらいいかわからない人におすすめ] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:25:53 JST 2019: send msg: [addAction:requestMessage:am;122553951] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:26:00 JST 2019: send msg: [122553951] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:26:00 JST 2019: send msg: [addAction:say:なになに?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:26:00 JST 2019: send msg: [addAction:requestMessage:am;12260832] to 'sota2' (/100.80.194.248, ID:84)
