Mon Feb 10 19:13:08 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Mon Feb 10 19:39:47 JST 2020: send msg: [addAction:say:そうだね、デザインが洗練されてるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:39:47 JST 2020: send msg: [addAction:requestMessage:am;193947293] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:39:52 JST 2020: send msg: [193947293] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:39:52 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:39:52 JST 2020: send msg: [addAction:requestMessage:am;193952583] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:39:52 JST 2020: send msg: [addAction:say:うん、うん、凛とした輝きがあるね] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:39:55 JST 2020: send msg: [193952583] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:39:55 JST 2020: send msg: [addAction:say:うん、確かにそうだね。:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:39:55 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:39:55 JST 2020: send msg: [addAction:say:素材とか値段も考えて、もっとたくさん見て決めたいよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
