Tue Jan 07 14:21:15 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Tue Jan 07 15:12:48 JST 2020: disconnect with: 'op' (/127.0.0.1,83)
Tue Jan 07 15:12:48 JST 2020: send msg: [151246331] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:12:48 JST 2020: send msg: [addAction:say:28番、ちょっと長めのイヤリングで耳元の存在感を出してるね] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:12:48 JST 2020: send msg: [addAction:requestMessage:am;151248729] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:12:54 JST 2020: send msg: [151248729] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:12:54 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:12:54 JST 2020: send msg: [addAction:say:女性らしさが引き立ってるね、シルバーの色合いもセンスいいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:12:54 JST 2020: send msg: [addAction:requestMessage:am;151254781] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:13:00 JST 2020: send msg: [151254781] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:13:00 JST 2020: send msg: [addAction:say:28番かなり良いね] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:13:00 JST 2020: send msg: [addAction:requestMessage:am;15130631] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:13:03 JST 2020: send msg: [15130631] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:17:47 JST 2020: disconnect with: 'sota2' (/100.80.194.203,16)
Tue Jan 07 15:17:47 JST 2020: disconnect with: 'sota' (/100.80.194.202,10)
Tue Jan 07 15:24:31 JST 2020: disconnect with: 'am' (/127.0.0.1,19)
Tue Jan 07 15:24:33 JST 2020: disconnect with: 'sh' (/127.0.0.1,22)
Tue Jan 07 15:24:35 JST 2020: Connect with /127.0.0.1, ID: 235
Tue Jan 07 15:24:35 JST 2020: Register name as: 'op' (/127.0.0.1, ID:235)
Tue Jan 07 15:24:44 JST 2020: Could not find name: 'sh'
Tue Jan 07 15:25:16 JST 2020: Could not find name: 'sh'
Tue Jan 07 15:25:16 JST 2020: Could not find name: 'sh'
Tue Jan 07 15:25:50 JST 2020: Could not find name: 'sh'
Tue Jan 07 15:25:50 JST 2020: Could not find name: 'sh'
Tue Jan 07 15:26:38 JST 2020: disconnect with: 'op' (/127.0.0.1,235)
Tue Jan 07 15:27:21 JST 2020: Connect with /127.0.0.1, ID: 244
Tue Jan 07 15:27:21 JST 2020: Register name as: 'op' (/127.0.0.1, ID:244)
