Wed Jan 15 16:08:08 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Wed Jan 15 16:08:08 JST 2020: Connect with /127.0.0.1, ID: 10
Wed Jan 15 17:24:17 JST 2020: send msg: [addAction:requestMessage:am;172417222] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:24:18 JST 2020: send msg: [172417222] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:24:18 JST 2020: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:24:18 JST 2020: send msg: [addAction:requestMessage:am;172418100] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:24:18 JST 2020: send msg: [172418100] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:24:19 JST 2020: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:24:19 JST 2020: send msg: [addAction:requestMessage:am;17241971] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:24:25 JST 2020: send msg: [17241971] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:24:25 JST 2020: send msg: [addAction:say:そうなんだ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:24:25 JST 2020: send msg: [addAction:requestMessage:am;172425105] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:24:25 JST 2020: send msg: [addAction:say:女性が普段身につけるものだからこそ、丁寧に選びたいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:24:32 JST 2020: send msg: [172425105] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:24:32 JST 2020: send msg: [addAction:say:どんなイヤリングを選ぶかで男性側のセンスがでるからね] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:24:32 JST 2020: send msg: [addAction:requestMessage:am;172432139] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:24:36 JST 2020: send msg: [172432139] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:24:36 JST 2020: send msg: [addAction:say:分からないなりに真剣に考えてみようかな:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:24:36 JST 2020: send msg: [addAction:requestMessage:am;172436501] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:24:40 JST 2020: send msg: [172436501] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:25:44 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 17:25:44 JST 2020: send msg: [cool] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 17:25:44 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:25:44 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:25:44 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:25:44 JST 2020: send msg: [cool] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:25:44 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:25:44 JST 2020: send msg: [addAction:say:イヤリング選ぶの種類も多くて大変そうだね] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:25:44 JST 2020: send msg: [addAction:requestMessage:am;172544201] to 'sota' (/100.80.194.202, ID:34)
