Sun Dec 15 08:04:23 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Sun Dec 15 08:04:23 JST 2019: Connect with /100.80.194.248, ID: 10
Sun Dec 15 08:14:49 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:49 JST 2019: send msg: [addAction:say:シルバーを使ったイヤリングかあ] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:49 JST 2019: send msg: [addAction:requestMessage:am;81449106] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:51 JST 2019: send msg: [81449106] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:51 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:51 JST 2019: send msg: [addAction:say:シルバーはアレルギーを起こしにくい金属なんだって:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:51 JST 2019: send msg: [addAction:requestMessage:am;81451913] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:53 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:14:53 JST 2019: send msg: [ok_shizuku] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:14:53 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:53 JST 2019: send msg: [ok_shizuku] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:53 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:53 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:53 JST 2019: send msg: [addAction:say:このしずく型のやつすごくいいデザインだね] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:53 JST 2019: send msg: [addAction:requestMessage:am;81453905] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:14:57 JST 2019: send msg: [81453905] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:14:57 JST 2019: send msg: [addAction:say:シンプルなデザインだけど、個性的で存在感があるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:14:57 JST 2019: send msg: [addAction:requestMessage:am;81457872] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:15:03 JST 2019: send msg: [81457872] to 'am' (/100.80.194.226, ID:16)
