Fri Nov 08 14:03:33 JST 2019: send msg: [addAction:requestMessage:am;14333511] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:03:36 JST 2019: send msg: [14333511] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:03:36 JST 2019: send msg: [addAction:say:そんなときは、ページの上の方の、マテリアルから絞り込むのところを] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:03:36 JST 2019: send msg: [addAction:requestMessage:am;14336410] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:03:42 JST 2019: send msg: [14336410] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:03:42 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:03:42 JST 2019: send msg: [addAction:say:マテリアルのところを:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:03:42 JST 2019: send msg: [addAction:requestMessage:am;14342412] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:03:44 JST 2019: send msg: [14342412] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:03:44 JST 2019: send msg: [addAction:say:K10ホワイトゴールドにして、検索ボタンを押してね] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:03:44 JST 2019: send msg: [addAction:requestMessage:am;14344549] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:03:49 JST 2019: send msg: [14344549] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:03:49 JST 2019: send msg: [addAction:posture:homePosture] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:03:49 JST 2019: send msg: [addAction:say:K10ホワイトゴールドだね、何がいいの?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:03:49 JST 2019: send msg: [addAction:requestMessage:am;14349483] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:03:53 JST 2019: send msg: [14349483] to 'am' (/100.80.194.226, ID:10)
