Tue Dec 17 23:15:46 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Tue Dec 17 23:15:46 JST 2019: Connect with /100.80.194.248, ID: 10
Tue Dec 17 23:24:32 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:24:32 JST 2019: send msg: [addAction:requestMessage:am;232432347] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:24:32 JST 2019: send msg: [addAction:say:長さが特徴的なイヤリングだね] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:24:35 JST 2019: send msg: [232432326] to 'am' (/100.80.194.226, ID:159)
Tue Dec 17 23:24:38 JST 2019: send msg: [232432347] to 'am' (/100.80.194.226, ID:159)
Tue Dec 17 23:24:51 JST 2019: disconnect with: 'sota' (/100.80.194.247,12)
Tue Dec 17 23:24:55 JST 2019: disconnect with: 'sota2' (/100.80.194.248,142)
Tue Dec 17 23:25:04 JST 2019: Connect with /100.80.194.247, ID: 179
Tue Dec 17 23:25:04 JST 2019: Register name as: 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:25:06 JST 2019: Connect with /100.80.194.248, ID: 182
Tue Dec 17 23:25:06 JST 2019: Register name as: 'sota2' (/100.80.194.248, ID:182)
Tue Dec 17 23:25:07 JST 2019: disconnect with: 'sh' (/100.80.194.226,162)
Tue Dec 17 23:25:08 JST 2019: disconnect with: 'am' (/100.80.194.226,159)
Tue Dec 17 23:25:22 JST 2019: Connect with /100.80.194.226, ID: 187
Tue Dec 17 23:25:22 JST 2019: Register name as: 'am' (/100.80.194.226, ID:187)
Tue Dec 17 23:25:22 JST 2019: Connect with /100.80.194.226, ID: 190
Tue Dec 17 23:25:22 JST 2019: Register name as: 'sh' (/100.80.194.226, ID:190)
Tue Dec 17 23:25:27 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:25:27 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:190)
Tue Dec 17 23:25:28 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:187)
Tue Dec 17 23:25:28 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:187)
Tue Dec 17 23:25:28 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:25:28 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:25:28 JST 2019: send msg: [addAction:requestMessage:am;23252874] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:25:28 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:25:28 JST 2019: send msg: [addAction:requestMessage:am;23252897] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:25:28 JST 2019: send msg: [addAction:say:長さが特徴的なイヤリングだね] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:25:31 JST 2019: send msg: [23252874] to 'am' (/100.80.194.226, ID:187)
Tue Dec 17 23:25:34 JST 2019: send msg: [23252897] to 'am' (/100.80.194.226, ID:187)
Tue Dec 17 23:26:53 JST 2019: disconnect with: 'am' (/100.80.194.226,187)
Tue Dec 17 23:26:57 JST 2019: disconnect with: 'sh' (/100.80.194.226,190)
Tue Dec 17 23:27:09 JST 2019: Connect with /100.80.194.226, ID: 207
Tue Dec 17 23:27:09 JST 2019: Register name as: 'am' (/100.80.194.226, ID:207)
Tue Dec 17 23:27:09 JST 2019: Connect with /100.80.194.226, ID: 210
Tue Dec 17 23:27:09 JST 2019: Register name as: 'sh' (/100.80.194.226, ID:210)
Tue Dec 17 23:27:20 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:210)
Tue Dec 17 23:27:20 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:27:20 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:207)
Tue Dec 17 23:27:20 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:27:20 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:207)
