Fri Jan 31 21:42:14 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Fri Jan 31 21:42:14 JST 2020: Connect with /100.80.194.162, ID: 10
Fri Jan 31 21:47:41 JST 2020: send msg: [ok_long] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:47:41 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:41 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:41 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:41 JST 2020: send msg: [ok_long] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:41 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:41 JST 2020: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:41 JST 2020: send msg: [addAction:requestMessage:am;214741709] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:46 JST 2020: send msg: [214741709] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:46 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:46 JST 2020: send msg: [addAction:say:華やかさのある、長いイヤリングはやっぱりいいよね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:46 JST 2020: send msg: [addAction:requestMessage:am;214746346] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:51 JST 2020: send msg: [214746346] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:51 JST 2020: send msg: [addAction:say:長いものは揺れるたびに光を反射するから輝いて見えるね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:51 JST 2020: send msg: [addAction:requestMessage:am;214751533] to 'sota' (/100.80.194.161, ID:22)
